Job Title;Job Description;Job Payment;Job Link
Telegram bot development related task;I'm seeking a skilled developer to create a Windows-compatible bot that automates betting on Lightning Roulette. The bot should leverage bet recommendations from a Telegram group via the Telegram API.;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/Telegram-bot-development-related-task_~021839602971750243750
Comment a post on LinkedIn via API;I have a Node.js web application that allows to publish content on LinkedIn via API. I want to add commenting feature.It should comment LinkedIn posts via API:- author's posts- other users posts;Est. budget: $20.00;https://www.upwork.com/freelance-jobs/apply/Comment-post-LinkedIn-via-API_~021839584286797837731
Junior Python and API Developer Needed for Custom Integrations;We are looking for a Junior Python and API Developer to join our team for the development of custom integrations and applications. Your role will focus on enhancing productivity and connectivity throu;Hourly: $10.00 - $20.00 ;https://www.upwork.com/freelance-jobs/apply/Junior-span-class-highlight-Python-span-and-API-Developer-Needed-for-Custom-Integrations_~021839562871738578339
NodeBB 3.10.x related project;This is a simple job for someone that knows nodebb very well. Complete this and I may have ongoing work for you.The current developer does not seem to be able to complete this.The platform is NodeB;Est. budget: $40.00;https://www.upwork.com/freelance-jobs/apply/NodeBB-related-project_~021839540220296452273
Tradingview. Pine script;HiI want to edit an indicator called Elder Impulse system, it’s a colour coded indicator made from two indicators 13 Day EMA and MACD histogram. Elder Impulse system turn green, when current 13 DEMA ;Est. budget: $5.00;https://www.upwork.com/freelance-jobs/apply/Tradingview-Pine-script_~021839539291206301091
truenas NFS share file , stream can't read from URL;truenas NFS share file , stream can't read from URLplease kindly remote my computer , i will open NAS for you fix;Est. budget: $5.00;https://www.upwork.com/freelance-jobs/apply/truenas-NFS-share-file-stream-can-read-from-URL_~021839505191148167662
Work from home Back-End Development;We are currently seeking an experienced Back-end Developer to join our IT team. The ideal candidate will be responsible for the server side of our web applications. If you have strong programming skil;Hourly;https://www.upwork.com/freelance-jobs/apply/Work-from-home-Back-End-Development_~021839487877829696933
Open position for Back-End Developer;We seek an experienced Backend Developer to join our dynamic engineering team. In this role, you will be responsible for designing, developing, and maintaining applications that support our internal t;Hourly;https://www.upwork.com/freelance-jobs/apply/Open-position-for-Back-End-Developer_~021839480470133764027
Simple PDF renaming script;Hi ThereEach week i have to manually rename approx 50 pdf files based on information in the pdf. I would like to automate this processThe file name needs to be YYYY-MM-DD Employee Name Inv Number ;Hourly;https://www.upwork.com/freelance-jobs/apply/Simple-PDF-renaming-script_~021839459938021083036
Data Migration Engineer - Benefits System Modernization;Position Title: Data Migration Engineer - Benefits System Modernization.Location: Remote, U.S.Employment Type: Full-time, 30 to 40 hours per week.Contract Duration: 3-4 months.Start Date: Immediat;Hourly: $45.00 - $60.00 ;https://www.upwork.com/freelance-jobs/apply/Data-Migration-Engineer-Benefits-System-Modernization_~021839402146056295253
CRM Integration & Setup with Typeform and Website (Odoo);I'm looking for a skilled professional to help integrate my Odoo CRM system with Typeform, my website, and my newsletter system. The goal is to streamline survey responses collected through Typeform d;Est. budget: $200.00;https://www.upwork.com/freelance-jobs/apply/CRM-Integration-Setup-with-Typeform-and-Website-Odoo_~021839383746169559217
Containers deployment and integration on azure;i am looking for docker containers deployment on Azure, integration with some python flask app.the idea is to deploy 3 containers on azure:1) nginx/apache2) backend_api.py3) BST_Service.pythe a;Hourly;https://www.upwork.com/freelance-jobs/apply/Containers-deployment-and-integration-azure_~021839346199395699010
Django Expert Needed;IF YOUR LOOKING FOR A 5* REVIEW TO BOOST YOUR UPWORK FREELANCE CAREER APPLY HEREI am looking for someone who can convert my flask code to djangoi have attatched the flask code to the job and also ;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/Django-Expert-Needed_~021839328160527247882
BackEnd Software related Task;Hello there,We're so excited to be sharing this job post with all talented ambitious people.We're looking for a Back End Software Engineer, to do a quick job, this might be a full time job in Yard';Est. budget: $20.00;https://www.upwork.com/freelance-jobs/apply/BackEnd-Software-related-Task_~021839315649621600446
Automation framework ;Please apply if you’re very confident learning simple automation tasks. We are setting up automatic copy paste functions. Selenium or automation testing experience is needed to complete all job requi;Hourly: $3.00 - $4.00 ;https://www.upwork.com/freelance-jobs/apply/Automation-framework_~021839303297375665556
Hugginface LLM ML evaluator, running LLM comparative experiments (Dataset will be given);The task is simple. The following benchmark needs to be implemented (https://github.com/yuweihao/MM-Vet/tree/main?tab=readme-ov-file). However, the dataset is different and will be provided. The exp;Est. budget: $70.00;https://www.upwork.com/freelance-jobs/apply/Hugginface-LLM-evaluator-running-LLM-comparative-experiments-Dataset-will-given_~021839287839724395828
Delete/Hide Google Search Results (Personal);I need someone that can delete or hide 3 google search results connected to my name. One of these will be an image and the other 2 are search results to websites.Why?I'm doing business and there;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/Delete-Hide-Google-Search-Results-Personal_~021839280473508412820
Selenium Specialist Needed for PDF Scraping from Dynamic Websites;I am looking for an experienced Selenium developer to automate the extraction of PDFs from many websites now and then.Today one task from the Fedlex website (https://www.fedlex.admin.ch/de), which ho;Hourly: $5.00 - $10.00 ;https://www.upwork.com/freelance-jobs/apply/Selenium-Specialist-Needed-for-PDF-Scraping-from-Dynamic-Websites_~021839265084802213132
Power Automate Engineer;We are seeking a skilled Power Automate Engineer to join our innovative startup team. In this role, you will work closely with our Product Owner and Front-End Developer to design and implement Power A;Hourly: $3.00 - $5.00 ;https://www.upwork.com/freelance-jobs/apply/Power-Automate-Engineer_~021839221052543608863
Casino arbitrage / api ;integrate more casinos and sports in our web app for arbitrage opportunities .. more info private;Est. budget: $350.00;https://www.upwork.com/freelance-jobs/apply/Casino-arbitrage-api_~021839213096562420234
We need the services of a Front-End Developer;Our company is seeking an experienced Front-End Developer to join our engineering team. The role involves designing, developing, and maintaining web-based applications to support various departments. ;Hourly;https://www.upwork.com/freelance-jobs/apply/need-the-services-Front-End-Developer_~021839207089061151437
Apache NiFi as a Service - build a SaaS application;eviit, a leading provider of digital twin solutions and data consulting services, is embarking on a journey to build its own cloud platform, eviit Cloud. The first phase of this ambitious project is C;Est. budget: $2,500.00;https://www.upwork.com/freelance-jobs/apply/Apache-NiFi-Service-build-SaaS-application_~021839206890651245876
Product web scrapping ;Scrape all products available on the website for Patagonia. Ensure all related fields and attributes of the product are also scrapped. Deliver the list in JSON format, along with images (All images);Est. budget: $35.00;https://www.upwork.com/freelance-jobs/apply/Product-web-scrapping_~021839193475461667177
API Development for Google Calendar and SimplyBook.me Integration;We are looking for a skilled developer to create an API that can read data from Google Calendar and perform read/write operations with SimplyBook.me using their API. The ideal candidate will have expe;Hourly: $13.00 - $30.00 ;https://www.upwork.com/freelance-jobs/apply/API-Development-for-Google-Calendar-and-SimplyBook-Integration_~021839147111128066405
Chrome extension/Python Developer to help capture network response payload in browser;Deliverable: Complete source code that automate capture network response from url  to MYSQL & MSSQL serverEither in Chrome Extention or Python Type of freelancer: Any individual;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/Chrome-extension-span-class-highlight-Python-span-Developer-help-capture-network-response-payload-browser_~021839106542431109126
Webdriver chrome for extracting specific data from IG;I need a chrome Web driver to go to IG url for a page, click on followers and when the pop up appear it gets the text of the Username and account alias. This is pretty straightforward for someone who ;Est. budget: $15.00;https://www.upwork.com/freelance-jobs/apply/Webdriver-chrome-for-extracting-specific-data-from_~021839072846613568820
Wayback Machine Data Collection;Project goal- To collect data posted to a table on a specific webpage monthly for the past 5 years (60 entries)- If this project goes well, I will want to do several more like thisScope of work- ;Est. budget: $25.00;https://www.upwork.com/freelance-jobs/apply/Wayback-Machine-Data-Collection_~021839061853457544233
Python developer;i want a python script that reads the Wall Street Journal RSS feed, extracts company mentions, and queries the OpenAI API (ChatGPT) for stock prices, i also want to set this script up as an opennai ag;Hourly;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-developer_~021839054671403548052
Automating Executive of Strategy in Nifty and Sensex Futures;I have a basic strategy that I want coded, would like it to completely automated with execution. The strategy is for Index Futures of India, Sensex and Nifty. The strategy is basic and does not requ;Est. budget: $150.00;https://www.upwork.com/freelance-jobs/apply/Automating-Executive-Strategy-Nifty-and-Sensex-Futures_~021839036845536050580
Python Developer Specialist.;ESSENTIAL DUTIES AND RESPONSIBILITIES:-Running/maintaining Python scripts for daily/monthly reporting-Maintaining and Creating Django Models/Views for internal business logic reporting and integrat;Hourly: $10.00 - $15.00 ;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-Developer-Specialist_~021839033830759717225
Software Engineer;Location: RemoteJob Type: Full-TimeSalary Range: ₹8,00,000 – ₹15,00,000 per annumAre you passionate about using technology to transform healthcare? Starium Innovative Healthcare is looking for a So;Est. budget: $18,000.00;https://www.upwork.com/freelance-jobs/apply/Software-Engineer_~021839007049635585332
Amazon web scraper;I need help with sequentum  content grabber to download each  document to separate folder;Est. budget: $10.00;https://www.upwork.com/freelance-jobs/apply/Amazon-web-scraper_~021839010706607401317
Looking for a script that will scrape tiktok videoURL and thumbnail, when entering username via post;Hello, I'm looking for someone to write a script that is compatible with my php sql cloudways server.When im contacting the script via rest api, I want to send a tiktok username. The script should ;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/Looking-for-script-that-will-scrape-tiktok-videoURL-and-thumbnail-when-entering-username-via-post_~021838937427700874644
Django related project;I have a driver app which I need copied over and integrated with my current Django project. The app does all necessary functions within the current project.Key Responsibilities:- Copy and paste the;Est. budget: $20.00;https://www.upwork.com/freelance-jobs/apply/Django-related-project_~021838979004389848105
Python Dev to fix script;Hello,I need a dev proficient in Python to fix a script that runs on a DigitalOcean server. The script uses Selenium to simulate a Chrome connection to a website, read the content and inform us thro;Hourly: $15.00 - $35.00 ;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-Dev-fix-script_~021838965350496561674
Django with AWS Expertise for UA and Device Management App;I have developed a Python-based SMTP Mailer App using Tkinter, and I’m now looking to enhance it with a web-based interface built in Django, combined with AWS for cloud-based services. The project inv;Est. budget: $80.00;https://www.upwork.com/freelance-jobs/apply/Django-with-AWS-Expertise-for-and-Device-Management-App_~021838944549637466143
Discord warning signal for cypto-currencies;Discord warning signal for cypto-currencies:Every 20 seconds, the bot should send a message to discord if the search criteria are met.To do this:1) The bot will list the cryptocurrency pairs ava;Est. budget: $140.00;https://www.upwork.com/freelance-jobs/apply/Discord-warning-signal-for-cypto-currencies_~021838923127751010826
Fuel Efficiency Enhancement in Hybrid Vehicle by using DDPG-ECMS;I'm looking for a skilled professional to implement DDPG-ECMS in my hybrid vehicle. The main goal is to improve fuel efficiency. Key Requirements:- Proficient in Python, as it's the preferred langu;Est. budget: $200.00;https://www.upwork.com/freelance-jobs/apply/Fuel-Efficiency-Enhancement-Hybrid-Vehicle-using-DDPG-ECMS_~021838922123831079977
Open position for Back-End Developer;We are looking for an experienced Back-End Developer to join our team. The ideal candidate will have a solid background in PHP development and a proven track record of working on increasingly complex ;Hourly;https://www.upwork.com/freelance-jobs/apply/Open-position-for-Back-End-Developer_~021838907169667808796
Need pine script programmer to create Info. box in tradingview. [ Ekin Basar Komur];Need pine script expert programmer to design information box in the trading view application.Programmer will be hired for long term purpose.;Hourly: $15.00 - $35.00 ;https://www.upwork.com/freelance-jobs/apply/Need-pine-script-programmer-create-Info-box-tradingview-Ekin-Basar-Komur_~021838890008773749093
Front end / back end / programming and a bit more help needed;Hello everyone,I'm trying again...p.s.What your salary could be in 1-2 years? Double or even tripple...Overview:Looking to hire someone for full time ( or part time IF you can be available qu;Hourly: $4.00 - $7.00 ;https://www.upwork.com/freelance-jobs/apply/Front-end-back-end-programming-and-bit-more-help-needed_~021838861540510924180
Python Developers (30-40 hours/week);Seeking a python developer to maintain microservices for a variety of purposes in a SaaS application. Must have a minimum of 5 years of experience with Python and frameworks: - FastAPI - Flask - Ce;Hourly: $5.00 - $15.00 ;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-Developers-hours-week_~021838836787283746100
Data Scraping Expert Needed;We are looking for a skilled data scraping expert to assist us with our project. The ideal candidate will have experience in web scraping and data extraction. The main task will be to scrape and extra;Hourly;https://www.upwork.com/freelance-jobs/apply/Data-Scraping-Expert-Needed_~021838823052030178345
Open Source Marketing Calculators – Seeking Developer for Enhancements & Contributions;We are looking for a developer to contribute to our open-source marketing calculators project. Our goal is to enhance the functionality, usability, and overall performance of these tools, which are de;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/Open-Source-Marketing-Calculators-Seeking-Developer-for-Enhancements-Contributions_~021838788998046771557
Python Script Editor For MIDI Files Transposition (Music Theory);I have a MIDI pack (6 Chord Builder) that I would like my python script to transpose into the 12 keys (I already have done this with other MIDI packs). But this pack has roman numerals at the beginn;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-Script-Editor-For-MIDI-Files-Transposition-Music-Theory_~021838771721947670885
Data Scraping: Meta Ads Library for Hackathon Ads;We are seeking a skilled data scraper to extract information from the Meta Ads Library on advertisements related to hackathons. The project entails identifying relevant ads, collecting data such as:;Est. budget: $40.00;https://www.upwork.com/freelance-jobs/apply/Data-Scraping-Meta-Ads-Library-for-Hackathon-Ads_~021838715004469893481
Jr. Full Stack Developer (HTML, CSS, Javascript);Interview THIS WEEK, start NEXT WEEK! We are an interaction design and process management services firm engineered to provide Service-Centric SaaS & SME clients access to Fortune 500 talent capable;Hourly: $5.00 - $15.00 ;https://www.upwork.com/freelance-jobs/apply/Full-Stack-Developer-HTML-CSS-Javascript_~021838633090457102693
Web Developer Needed for Interactive E-Learning Platform;We are looking for an experienced web developer to create an interactive e-learning platform. The course will be structured into various chapters, with multiple-choice exams included within each chapt;Hourly: $5.00 - $25.00 ;https://www.upwork.com/freelance-jobs/apply/Web-Developer-Needed-for-Interactive-Learning-Platform_~021838630079403178288
Web Scraping Expert Needed for Public Website;We are seeking a skilled web scraping expert to extract data from a public website. The ideal candidate will have experience using web scraping tools and programming languages to gather and organize d;Hourly: $5.00 - $8.00 ;https://www.upwork.com/freelance-jobs/apply/Web-Scraping-Expert-Needed-for-Public-Website_~021838608553255381023
Software Engineer - Fresh graduates are welcome!;We are seeking enthusiastic and motivated Junior Software Engineers who are fresh graduates with 0 to 1 year of experience. This is a fantastic opportunity to kickstart your career in software develop;Hourly;https://www.upwork.com/freelance-jobs/apply/Software-Engineer-Fresh-graduates-are-welcome_~021838511028077203139
Web Developer for integration of advertising tools, performance optimization  0-1 year experience;Position: Web DeveloperLocation: RemoteOverview:We are looking for a skilled and innovative Web Developer to join our dynamic team at an online advertising and media campaigns firm. As a web devel;Hourly: $40.00 - $65.00 ;https://www.upwork.com/freelance-jobs/apply/Web-Developer-for-integration-advertising-tools-performance-optimization-year-experience_~021838505968444798720
Twitter Reply Bot Development;I need a bot that automates replies on Twitter posts.The loop starts by refreshing the page and appending all of the new tweets to a list.It generates chatgpt responses based on the tweets - examp;Hourly;https://www.upwork.com/freelance-jobs/apply/Twitter-Reply-Bot-Development_~021838546528371230487
Staff Software Engineer - Python & Big Data Specialist;We are seeking a highly skilled Staff Software Engineer with expertise in Python and Big Data technologies. The ideal candidate will have a strong background in developing scalable data solutions, opt;Hourly;https://www.upwork.com/freelance-jobs/apply/Staff-Software-Engineer-span-class-highlight-Python-span-amp-Big-Data-Specialist_~021838533964312626967
Remote position for Back-End Developer;We are currently seeking an experienced Back-End Developer to join our dynamic technical team on a freelance basis. In this role, you will be tasked with developing and maintaining server-side logic t;Hourly;https://www.upwork.com/freelance-jobs/apply/Remote-position-for-Back-End-Developer_~021838465615105121528
Need pine script programmer to create Info. box in tradingview.;Need pine script expert programmer to design information box in the trading view application.Programmer will be hired for long term purpose.;Hourly: $15.00 - $35.00 ;https://www.upwork.com/freelance-jobs/apply/Need-pine-script-programmer-create-Info-box-tradingview_~021838449556830035427
Python Script Development for Automated Data Export;We are seeking a skilled Python developer to create a script that automates a repetitive task and exports the results to a spreadsheet format (e.g., Excel, CSV). The ideal candidate will have experien;Est. budget: $100.00;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-Script-Development-for-Automated-Data-Export_~021838381342686831236
API tester that has multi-factor authentication (MFA) enabled. ;API tester to evaluate our application programming interface (API) that has multi-factor authentication (MFA) enabled. Your expertise will help ensure the security and functionality of our API under v;Hourly: $13.00 - $20.00 ;https://www.upwork.com/freelance-jobs/apply/API-tester-that-has-multi-factor-authentication-MFA-enabled_~021838403608113974979
Data Cleanup & Analysis Project;Short-term project to de-dupe and consolidate several disparate but related data sets for 5-year period. Run single- & multi-variable regression and correlation analysis for single-year and multi-year;Hourly: $35.00 - $50.00 ;https://www.upwork.com/freelance-jobs/apply/Data-Cleanup-Analysis-Project_~021838399806643133688
Pharmacy & Pharmacist - List building;I'm looking for a web scraper to build me 2 lists:1. Small Pharmacies (no CVS, Walgreens, etc) in the following states: CA, NC, NJ, NY, FL - with email addresses of decision makers2. Pharmacists in ;Est. budget: $40.00;https://www.upwork.com/freelance-jobs/apply/Pharmacy-Pharmacist-List-building_~021838381920474127608
C# code to interact with website WITHOUT api (like scraping). HtmlAgilityPack;I am looking for someone who can write modern C# code to access a website, wait for it to load, and then download a file. I will then use the file.1. the website is https://downsub.com/2. it works ;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/code-interact-with-website-WITHOUT-api-like-scraping-HtmlAgilityPack_~021838305392025040640
Converting flask to react, small website.;converting flask to react, small website but the job needs to be done in 24-48 hours.;Est. budget: $15.00;https://www.upwork.com/freelance-jobs/apply/Converting-flask-react-small-website_~021838302123651397376
CNN activation heatmap  ;Based on existing model in h5 file, need code possible to run from within an R app to generate activation maps for a CNN image classification. ;Est. budget: $15.00;https://www.upwork.com/freelance-jobs/apply/CNN-activation-heatmap_~021838281919714314007
Data science work python - urgent;Hey, I need help with urgent data science work. it is very simple..just need small analysis in python on boston housing data.I'll send you task details...Need someone who can start right away;Hourly: $18.00 - $22.00 ;https://www.upwork.com/freelance-jobs/apply/Data-science-work-span-class-highlight-python-span-urgent_~021838278126301771520
Twitter (X) API Data Extraction ;I am looking for someone with experience with X API to help me build a list profiles that are from Austin, TX and the surrending area over a certain area amount of follower count, maybe 1k.Also need;Est. budget: $100.00;https://www.upwork.com/freelance-jobs/apply/Twitter-API-Data-Extraction_~021838265825178734133
Mentoring learning Go Lang from scratch building and Chrome Plugin with Go with API call to open AI;Im loking for a mentor to learn Go Lang from scratchwile building a Google Chrome Plugin with Go Lang with API call to open AI;Hourly: $10.00 - $15.00 ;https://www.upwork.com/freelance-jobs/apply/Mentoring-learning-Lang-from-scratch-building-and-Chrome-Plugin-with-with-API-call-open_~021838259107943434007
Python Web Scraping for export of data and automation Data Mining;We are scraping data from a particular site and have about 20 steps in the process.  Step 1 - Scrape site and save in our own database in the similar format.  Step 2 - export in XLS format.Step ;Hourly: $5.00 - $9.00 ;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-Web-Scraping-for-export-data-and-automation-Data-Mining_~021838207722570551742
Data Scraping Expert for Restaurant Information from Uber Eats.;I am looking for a skilled and experienced data scraper to collect detailed information on small, single-location restaurants in Minnesota that use DoorDash or Uber Eats for delivery services. The spe;Est. budget: $5.00;https://www.upwork.com/freelance-jobs/apply/Data-Scraping-Expert-for-Restaurant-Information-from-Uber-Eats_~021838193514085927649
Delete/Hide Google Search Results (Personal);I need someone that can delete or hide 3 google search results connected to my name. One of these will be an image and the other 2 are search results to websites.Why?I'm doing business and there;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/Delete-Hide-Google-Search-Results-Personal_~021838175747625786192
Unable to connect Appwrite to GitHub App;Problem: The Appwrite project was previously connected to a GitHub App created with a different GitHub Account. We  have changed change the GitHub account to another and created a new GitHub App. Fol;Hourly: $20.00 - $40.00 ;https://www.upwork.com/freelance-jobs/apply/Unable-connect-Appwrite-GitHub-App_~021838162725973576417
Looking for senior C# developers to evaluate middleware;We are looking for mid-level C# developers with at least 6-7 years of experience to assist in evaluating middleware technology for a client.Evaluation ProcessThe evaluation will consist of three t;Est. budget: $850.00;https://www.upwork.com/freelance-jobs/apply/Looking-for-senior-developers-evaluate-middleware_~021838123892753812843
Looking for C# developers to evaluate middleware;We are looking for mid-level C# developers with at least 4 years of experience to assist in evaluating middleware technology for a client.Evaluation ProcessThe evaluation will consist of three tas;Est. budget: $420.00;https://www.upwork.com/freelance-jobs/apply/Looking-for-developers-evaluate-middleware_~021838122491918974349
Assistance with R coding, getting error message;"Getting ""too few positive probabilities"" as an error for the code.0 was never a probability but now it is so needs to take account of that.I can provide the code & data set";Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/Assistance-with-coding-getting-error-message_~021838031751381347679
tick by tick stock price in Microsoft 365 excel(web version);I currently use stock data type in microsoft 365 and i am getting stock prices but its not live , there is often a delay of 20 mins . (i mean the price shown in microsoft 365 is usually the price that;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/tick-tick-stock-price-Microsoft-365-excel-web-version_~021837926751129619169
Simple website with text scraping from elsewhere;I want to have a simple website that shows an overview of dentists in Denmark. The text should be copied/scrapped from an official national site with information on dentists in Denmark. There is one o;Hourly: $5.00 - $15.00 ;https://www.upwork.com/freelance-jobs/apply/Simple-website-with-text-scraping-from-elsewhere_~021837936175907887391
Needed the Retail E-Commerce, ERP, Customer Relationship Management Application Source code;We urgently need the Retail E-commerce, ERP and Customer relationship management application for our project customization.To fulfill our internal process, you are invited to submit your proposal vi;Est. budget: $75,000.00;https://www.upwork.com/freelance-jobs/apply/Needed-the-Retail-Commerce-ERP-Customer-Relationship-Management-Application-Source-code_~021837900732466516910
Machine Learning - Project;We are a data aggregator company who collect data from different source under one roof. For the classification of the data we use Sector, CPV, and Keywords. Now I want to make a system where it identi;Est. budget: $500.00;https://www.upwork.com/freelance-jobs/apply/Machine-Learning-Project_~021837859510820534559
